cid,title,cat,cat_path,page,langs,n_langs
ENPt72ki7,"Untuned Time : Camille Norment, Min Oh",문화관광,Culture > Cultural > Facilities,4,KOPt72ki7:한국어|ENPt72ki7:영어|JPPt72ki7:일본어|CNPt72ki7:중국어 간체|TCPt72ki7:중국어 번체|RUPt72ki7:러시아어,6
ENPvtrfxs,"Oh Jiyoon Solo Exhibition, 《Dignity: Accumulated Time》",문화관광,Culture > Cultural > Facilities,4,KOPvtrfxs:한국어|ENPvtrfxs:영어|JPPvtrfxs:일본어|CNPvtrfxs:중국어 간체|TCPvtrfxs:중국어 번체|RUPvtrfxs:러시아어,6
ENP21zkoz,Musical 《BILLY ELLIOT》,문화관광,Culture > Cultural > Facilities,4,KOP21zkoz:한국어|ENP21zkoz:영어|JPP21zkoz:일본어|CNP21zkoz:중국어 간체|TCP21zkoz:중국어 번체|RUP21zkoz:러시아어,6
ENPa4m2cj,A Wardrobe of Imagination - E-Land Collection Special Exhibition,문화관광,Culture > Cultural > Facilities,4,KOPa4m2cj:한국어|ENPa4m2cj:영어|JPPa4m2cj:일본어|CNPa4m2cj:중국어 간체|TCPa4m2cj:중국어 번체|RUPa4m2cj:러시아어,6
ENP1udvdv,Hanyang  Adventure Begins!,문화관광,Culture > Cultural > Facilities,4,KOP1udvdv:한국어|ENP1udvdv:영어|JPP1udvdv:일본어|CNP1udvdv:중국어 간체|TCP1udvdv:중국어 번체|RUP1udvdv:러시아어,6
ENP8r0zj2,Lee Hoe-young Memorial Hall,문화관광,Culture > Cultural > Facilities > Others > Cultural > Facilities,4,KOP8r0zj2:한국어|ENP8r0zj2:영어|JPP8r0zj2:일본어|CNP8r0zj2:중국어 간체|TCP8r0zj2:중국어 번체|RUP8r0zj2:러시아어|MLP8r0zj2:말레이어,7
ENPr5wmx4,2026 SPO RIVERSIDE CONCERT,문화관광,Culture > Cultural > Facilities,4,KOPr5wmx4:한국어|ENPr5wmx4:영어,2
ENPquzsjk,Always-Already-There,문화관광,Culture > Cultural > Facilities,4,KOPquzsjk:한국어|ENPquzsjk:영어|JPPquzsjk:일본어|CNPquzsjk:중국어 간체|TCPquzsjk:중국어 번체|RUPquzsjk:러시아어,6
ENPfppq98,Welcome to Hanseongbu: Governing the Capital of Joseon,문화관광,Culture > Cultural > Facilities,4,KOPfppq98:한국어|ENPfppq98:영어|JPPfppq98:일본어|CNPfppq98:중국어 간체|TCPfppq98:중국어 번체|RUPfppq98:러시아어,6
ENPfv3al6,Yoo Youngkuk : A Mountain Within Me,문화관광,Culture > Cultural > Facilities,4,KOPfv3al6:한국어|ENPfv3al6:영어|JPPfv3al6:일본어|CNPfv3al6:중국어 간체|TCPfv3al6:중국어 번체|RUPfv3al6:러시아어,6
ENPxrmedb,Gungisi Relics Exhibition Hall,문화관광,Culture > Cultural > Facilities > Others > Cultural > Facilities,5,KOPxrmedb:한국어|ENPxrmedb:영어|JPPxrmedb:일본어|CNPxrmedb:중국어 간체|TCPxrmedb:중국어 번체|RUPxrmedb:러시아어|MLPxrmedb:말레이어,7
ENP4groc4,Seoul Metropolitan Dance Theatre &lt;Mimesis&gt;,문화관광,Culture > Cultural > Facilities,5,KOP4groc4:한국어|ENP4groc4:영어|JPP4groc4:일본어|CNP4groc4:중국어 간체|TCP4groc4:중국어 번체|RUP4groc4:러시아어,6
ENP5uw5dz,My Art Museum One Grove Branch,문화관광,Culture > Cultural > Facilities > Art > Museums/Galleries,5,KOP5uw5dz:한국어|ENP5uw5dz:영어|JPP5uw5dz:일본어|CNP5uw5dz:중국어 간체|TCP5uw5dz:중국어 번체|RUP5uw5dz:러시아어|MLP5uw5dz:말레이어,7
ENPy3qot3,2026 Donhwamun Traditional Korean Music Week &lt;Between… Sound… Breath…&gt;,문화관광,Culture > Cultural > Facilities,5,KOPy3qot3:한국어|ENPy3qot3:영어|JPPy3qot3:일본어|CNPy3qot3:중국어 간체|TCPy3qot3:중국어 번체|RUPy3qot3:러시아어,6
ENPk0c3m0,Hangangjin Station,문화관광,Culture > Cultural > Districts,5,KOPk0c3m0:한국어|ENPk0c3m0:영어|JPPk0c3m0:일본어|CNPk0c3m0:중국어 간체|TCPk0c3m0:중국어 번체|RUPk0c3m0:러시아어|MLPk0c3m0:말레이어,7
ENP3u747h,[Space Tone Gallery] Ko So-mi Solo Exhibition: Multiplicity,문화관광,Culture > Cultural > Facilities,5,KOP3u747h:한국어|ENP3u747h:영어|JPP3u747h:일본어|CNP3u747h:중국어 간체|TCP3u747h:중국어 번체|RUP3u747h:러시아어,6
ENP15st7z,Seokpajeong Seoul Museum of Art,문화관광,Culture > Cultural > Facilities > Art > Museums/Galleries,5,KOP15st7z:한국어|ENP15st7z:영어|JPP15st7z:일본어|CNP15st7z:중국어 간체|TCP15st7z:중국어 번체|RUP15st7z:러시아어|MLP15st7z:말레이어,7
ENPqphj9g,Where Writing Breathes,문화관광,Culture > Cultural > Facilities,5,KOPqphj9g:한국어|ENPqphj9g:영어|JPPqphj9g:일본어|CNPqphj9g:중국어 간체|TCPqphj9g:중국어 번체|RUPqphj9g:러시아어,6
ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",문화관광,Culture > Cultural > Facilities,5,KOP9kal14:한국어|ENP9kal14:영어|JPP9kal14:일본어|CNP9kal14:중국어 간체|TCP9kal14:중국어 번체|RUP9kal14:러시아어,6
ENPqbt49i,2026 Yeongdeungpo Art Square X KAIST Experience Design Lab Special Exhibition &lt;Living Geometry&gt;,문화관광,Culture > Cultural > Facilities,5,KOPqbt49i:한국어|ENPqbt49i:영어|JPPqbt49i:일본어|CNPqbt49i:중국어 간체|TCPqbt49i:중국어 번체|RUPqbt49i:러시아어,6
ENP8kwn54,Arko Kkumbat Theater,문화관광,Culture > Performance > Halls,5,KOP8kwn54:한국어|ENP8kwn54:영어|JPP8kwn54:일본어|CNP8kwn54:중국어 간체|TCP8kwn54:중국어 번체|RUP8kwn54:러시아어|MLP8kwn54:말레이어,7
ENPxa3w2o,Kansong Art Museum,문화관광,Culture > Cultural > Facilities > Art > Museums/Galleries,5,KOPxa3w2o:한국어|ENPxa3w2o:영어|JPPxa3w2o:일본어|CNPxa3w2o:중국어 간체|TCPxa3w2o:중국어 번체|RUPxa3w2o:러시아어|MLPxa3w2o:말레이어,7
ENPij6dx2,2026 Hangang Light Show (Drone Light Show),문화관광,Culture > Cultural > Facilities,5,KOPij6dx2:한국어|ENPij6dx2:영어|JPPij6dx2:일본어|CNPij6dx2:중국어 간체|TCPij6dx2:중국어 번체|RUPij6dx2:러시아어,6
ENPfyj86p,&lt;The magnificent Hermitage&gt; Official Digital Special Exhibition,문화관광,Culture > Cultural > Facilities,5,KOPfyj86p:한국어|ENPfyj86p:영어|JPPfyj86p:일본어|CNPfyj86p:중국어 간체|TCPfyj86p:중국어 번체|RUPfyj86p:러시아어,6
ENPg1x5kx,Mandy El-Sayegh : For Theresa,문화관광,Culture > Cultural > Facilities,5,KOPg1x5kx:한국어|ENPg1x5kx:영어|JPPg1x5kx:일본어|CNPg1x5kx:중국어 간체|TCPg1x5kx:중국어 번체|RUPg1x5kx:러시아어,6
ENPlhrsqk,Strange K-Beauty: Mom&#039;s Drawer,문화관광,Culture > Cultural > Facilities,5,KOPlhrsqk:한국어|ENPlhrsqk:영어|JPPlhrsqk:일본어|CNPlhrsqk:중국어 간체|TCPlhrsqk:중국어 번체|RUPlhrsqk:러시아어,6
ENPjn2f1j,The 46th Traditional Craft Masterpieces Exhibition,문화관광,Culture > Cultural > Facilities,5,KOPjn2f1j:한국어|ENPjn2f1j:영어|JPPjn2f1j:일본어|CNPjn2f1j:중국어 간체|TCPjn2f1j:중국어 번체|RUPjn2f1j:러시아어,6
